[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[37, 38]; [-0.25, -0.2]: 6361 / 1675
[37, 38]; [-0.2, -0.15]: 6272 / 1638
[37, 38]; [-0.15, -0.1]: 6236 / 1529
[37, 38]; [-0.1, -0.05]: 6183 / 1570
[37, 38]; [-0.05, 0]: 6061 / 1559
[37, 38]; [0, 0.05]: 6175 / 1539
[37, 38]; [0.05, 0.1]: 6138 / 1568
[37, 38]; [0.1, 0.15]: 6195 / 1575
[37, 38]; [0.15, 0.2]: 6182 / 1591
[37, 38]; [0.2, 0.25]: 6242 / 1641
[37, 38]; [0.25, 0.3]: 6269 / 1526
[37, 38]; [0.3, 0.35]: 6480 / 1592
[37, 38]; [0.35, 0.4]: 6551 / 1677
[37, 38]; [0.4, 0.45]: 6463 / 1655
[37, 38]; [0.45, 0.5]: 6618 / 1610
[37, 38]; [0.5, 0.55]: 6663 / 1738
[37, 38]; [0.55, 0.6]: 6635 / 1637
[37, 38]; [0.6, 0.65]: 6895 / 1641
[37, 38]; [0.65, 0.7]: 5859 / 1430
